日期,版本,事件Id,事件名称,消息数量,独立用户数
2020-11-15,null,TDeal.doCancelAll,交易.一键取消挂单,39,11
2020-11-15,null,TAdvance.to,高级分析.跳转,40,16
2020-11-15,null,Search.selectHistory,搜索.选择历史,40,29
2020-11-15,null,Timeline.to,时间胶囊.跳转,40,16
2020-11-15,null,Browser.onMonthSelect,索引.月选择,43,5
2020-11-15,null,TSacrifice.toggleExpand,资产重组.展开收起圣殿,44,15
2020-11-15,null,Timeline.tabsChange,时间胶囊.标签页切换,44,10
2020-11-15,null,Notify.clear,电波提醒.清除,44,18
2020-11-15,null,TICO.tabsChange,ICO.标签页切换,44,9
2020-11-15,null,Notify.to,电波提醒.跳转,45,12
2020-11-15,null,Group.to,小组.跳转,47,12
2020-11-15,null,RakuenSearch.to,帖子搜索.跳转,48,3
2020-11-15,null,Search.deleteHistory,搜索.删除历史,49,11
2020-11-15,null,TLogs.tabsChange,资金日志.标签页切换,50,7
2020-11-15,null,Setting.to,设置.跳转,51,25
2020-11-15,null,Home.doWatchedNextEp,首页.观看下一章节,52,17
2020-11-15,null,RakuenSearch.doSearch,帖子搜索.搜索,54,6
2020-11-15,null,Rakuen.tabsChange,超展开.标签页切换,55,16
2020-11-15,null,TAdvanceAsk.to,卖一推荐.跳转,55,6
2020-11-15,null,Home.itemToggleExpand,首页.展开或收起条目,56,19
2020-11-15,null,Search.onSelect,搜索.切换类型,56,33
2020-11-15,null,TSacrifice.templeView,资产重组.圣殿图查看,56,12
2020-11-15,null,Home.selectGirdSubject,首页.格子布局条目选择,59,4
2020-11-15,null,Login.onTour,登陆.游客访问,60,22
2020-11-15,null,Browser.to,索引.跳转,61,11
2020-11-15,null,Home.doEpsSelect,首页.章节菜单操作,66,17
2020-11-15,null,TCharaAssets.onSortPress,我的持仓.排序,66,12
2020-11-15,null,Subject.doUpdateSubjectEp,条目.输入框更新章节,67,10
2020-11-15,null,TTopWeek.to,每周萌王.跳转,69,11
2020-11-15,null,Rank.prev,排行榜.上一页,70,11
2020-11-15,null,Login.onError,登陆.错误,74,33
2020-11-15,null,Subject.searchEp,条目.搜索源,78,27
2020-11-15,null,Login.onSuccess,登陆.成功,83,75
2020-11-15,null,TIndex.test,小圣杯.预测股息,87,27
2020-11-15,null,Rank.next,排行榜.下一页,88,12
2020-11-15,null,TAdvanceAuction.to,拍卖推荐.跳转,92,9
2020-11-15,null,TItems.use,我的道具.使用,93,16
2020-11-15,null,TDeal.doCancel,交易.取消挂单,96,20
2020-11-15,null,Anime.onSelect,Anime.选择,104,18
2020-11-15,null,Setting.switch,设置.切换,105,18
2020-11-15,null,Anime.to,Anime.跳转,106,16
2020-11-15,null,Login.to,登陆.跳转,110,36
2020-11-15,null,Home.tabsChange,首页.标签页切换,111,39
2020-11-15,null,Tag.to,用户标签.跳转,112,20
2020-11-15,null,TICODeal.doSubmit,ICO交易.注资,113,10
2020-11-15,null,Zone.tabsChange,空间.标签页切换,119,21
2020-11-15,null,Topic.to,帖子.跳转,120,34
2020-11-15,null,Rank.to,排行榜.跳转,122,19
2020-11-15,null,TSacrifice.changeAmountByMenu,资产重组.菜单改变竞拍数量,134,14
2020-11-15,null,Mono.to,人物.跳转,148,44
2020-11-15,null,TLogs.to,资金日志.跳转,151,21
2020-11-15,null,TSacrifice.doAuction,资产重组.竞拍,172,25
